# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_pT
RatioPlotReference=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
XLabel=$p_\perp$[GeV]
YLabel=d$\sigma[pb] $
Legend=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCtogether.yoda/MC_BC/h_pT
ScaledBy=7.65439901499275663e+01
Title=LHCtogether
# xlow	 xhigh	 val	 errminus	 errplus
2.610000e+01	2.640000e+01	5.102930e+02	3.608319e+02	3.608319e+02
2.640000e+01	2.670000e+01	1.275733e+03	5.705252e+02	5.705252e+02
2.670000e+01	2.700000e+01	1.275733e+03	5.705252e+02	5.705252e+02
2.700000e+01	2.730000e+01	5.102933e+02	3.608318e+02	3.608318e+02
2.730000e+01	2.760000e+01	1.020587e+03	5.102933e+02	5.102933e+02
2.760000e+01	2.790000e+01	7.654397e+02	4.419270e+02	4.419270e+02
2.790000e+01	2.820000e+01	1.275733e+03	5.705252e+02	5.705252e+02
2.820000e+01	2.850000e+01	5.102933e+02	3.608318e+02	3.608318e+02
2.850000e+01	2.880000e+01	2.551466e+02	2.551466e+02	2.551466e+02
2.880000e+01	2.910000e+01	1.020587e+03	5.102933e+02	5.102933e+02
2.910000e+01	2.940000e+01	1.020587e+03	5.102933e+02	5.102933e+02
2.940000e+01	2.970000e+01	1.020586e+03	5.102933e+02	5.102933e+02
2.970000e+01	3.000000e+01	7.654400e+02	4.419270e+02	4.419270e+02
# END HISTO1D


# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_pT
LineColor=blue
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/Final-runs/LHCBc.yoda/MC_BC/h_pT
ScaledBy=6.94404838323250573e+00
Title=LHCBc
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-01	4.629367e+02	1.035158e+02	1.035158e+02
3.000000e-01	6.000000e-01	1.180488e+03	1.653014e+02	1.653014e+02
6.000000e-01	9.000000e-01	2.592445e+03	2.449630e+02	2.449630e+02
9.000000e-01	1.200000e+00	4.513630e+03	3.232279e+02	3.232279e+02
1.200000e+00	1.500000e+00	5.879293e+03	3.688997e+02	3.688997e+02
1.500000e+00	1.800000e+00	7.453280e+03	4.153550e+02	4.153550e+02
1.800000e+00	2.100000e+00	9.536493e+03	4.698293e+02	4.698293e+02
2.100000e+00	2.400000e+00	9.281877e+03	4.635148e+02	4.635148e+02
2.400000e+00	2.700000e+00	1.030034e+04	4.882828e+02	4.882828e+02
2.700000e+00	3.000000e+00	1.113362e+04	5.076496e+02	5.076496e+02
3.000000e+00	3.300000e+00	1.173544e+04	5.211892e+02	5.211892e+02
3.300000e+00	3.600000e+00	1.201320e+04	5.273211e+02	5.273211e+02
3.600000e+00	3.900000e+00	1.245299e+04	5.368867e+02	5.368867e+02
3.900000e+00	4.200000e+00	1.305481e+04	5.497067e+02	5.497067e+02
4.200000e+00	4.500000e+00	1.277705e+04	5.438273e+02	5.438273e+02
4.500000e+00	4.800000e+00	1.310110e+04	5.506805e+02	5.506805e+02
4.800000e+00	5.100000e+00	1.240670e+04	5.358878e+02	5.358878e+02
5.100000e+00	5.400000e+00	1.168915e+04	5.201602e+02	5.201602e+02
5.400000e+00	5.700000e+00	1.254558e+04	5.388789e+02	5.388789e+02
5.700000e+00	6.000000e+00	1.284649e+04	5.453031e+02	5.453031e+02
6.000000e+00	6.300000e+00	1.342516e+04	5.574494e+02	5.574494e+02
6.300000e+00	6.600000e+00	1.249929e+04	5.378837e+02	5.378837e+02
6.600000e+00	6.900000e+00	1.185118e+04	5.237529e+02	5.237529e+02
6.900000e+00	7.200000e+00	1.256873e+04	5.393758e+02	5.393758e+02
7.200000e+00	7.500000e+00	1.229097e+04	5.333825e+02	5.333825e+02
7.500000e+00	7.800000e+00	1.194376e+04	5.257948e+02	5.257948e+02
7.800000e+00	8.100000e+00	1.194376e+04	5.257948e+02	5.257948e+02
8.100000e+00	8.400000e+00	1.111048e+04	5.071216e+02	5.071216e+02
8.400000e+00	8.700000e+00	1.106418e+04	5.060640e+02	5.060640e+02
8.700000e+00	9.000000e+00	1.159656e+04	5.180961e+02	5.180961e+02
9.000000e+00	9.300000e+00	1.141139e+04	5.139430e+02	5.139430e+02
9.300000e+00	9.600000e+00	1.087901e+04	5.018113e+02	5.018113e+02
9.600000e+00	9.900000e+00	1.076327e+04	4.991349e+02	4.991349e+02
9.900000e+00	1.020000e+01	1.034663e+04	4.893789e+02	4.893789e+02
1.020000e+01	1.050000e+01	9.906843e+03	4.788653e+02	4.788653e+02
1.050000e+01	1.080000e+01	9.443907e+03	4.675430e+02	4.675430e+02
1.080000e+01	1.110000e+01	9.281877e+03	4.635148e+02	4.635148e+02
1.110000e+01	1.140000e+01	8.980970e+03	4.559397e+02	4.559397e+02
1.140000e+01	1.170000e+01	9.443907e+03	4.675430e+02	4.675430e+02
1.170000e+01	1.200000e+01	8.286563e+03	4.379585e+02	4.379585e+02
1.200000e+01	1.230000e+01	8.934677e+03	4.547631e+02	4.547631e+02
1.230000e+01	1.260000e+01	7.916217e+03	4.280598e+02	4.280598e+02
1.260000e+01	1.290000e+01	8.240270e+03	4.367335e+02	4.367335e+02
1.290000e+01	1.320000e+01	8.541180e+03	4.446361e+02	4.446361e+02
1.320000e+01	1.350000e+01	7.545867e+03	4.179269e+02	4.179269e+02
1.350000e+01	1.380000e+01	7.244957e+03	4.095092e+02	4.095092e+02
1.380000e+01	1.410000e+01	6.434817e+03	3.859348e+02	3.859348e+02
1.410000e+01	1.440000e+01	6.249643e+03	3.803412e+02	3.803412e+02
1.440000e+01	1.470000e+01	6.758873e+03	3.955331e+02	3.955331e+02
1.470000e+01	1.500000e+01	6.434817e+03	3.859348e+02	3.859348e+02
1.500000e+01	1.530000e+01	5.833000e+03	3.674445e+02	3.674445e+02
1.530000e+01	1.560000e+01	5.416357e+03	3.540785e+02	3.540785e+02
1.560000e+01	1.590000e+01	5.069157e+03	3.425418e+02	3.425418e+02
1.590000e+01	1.620000e+01	4.444190e+03	3.207319e+02	3.207319e+02
1.620000e+01	1.650000e+01	3.796080e+03	2.964240e+02	2.964240e+02
1.650000e+01	1.680000e+01	3.888667e+03	3.000172e+02	3.000172e+02
1.680000e+01	1.710000e+01	3.911813e+03	3.009088e+02	3.009088e+02
1.710000e+01	1.740000e+01	3.101675e+03	2.679439e+02	2.679439e+02
1.740000e+01	1.770000e+01	3.703493e+03	2.927868e+02	2.927868e+02
1.770000e+01	1.800000e+01	2.847060e+03	2.567107e+02	2.567107e+02
1.800000e+01	1.830000e+01	2.870207e+03	2.577522e+02	2.577522e+02
1.830000e+01	1.860000e+01	3.101675e+03	2.679439e+02	2.679439e+02
1.860000e+01	1.890000e+01	2.754472e+03	2.525021e+02	2.525021e+02
1.890000e+01	1.920000e+01	1.851746e+03	2.070315e+02	2.070315e+02
1.920000e+01	1.950000e+01	1.990627e+03	2.146548e+02	2.146548e+02
1.950000e+01	1.980000e+01	2.523004e+03	2.416600e+02	2.416600e+02
1.980000e+01	2.010000e+01	1.851746e+03	2.070315e+02	2.070315e+02
2.010000e+01	2.040000e+01	1.550837e+03	1.894649e+02	1.894649e+02
2.040000e+01	2.070000e+01	1.573984e+03	1.908736e+02	1.908736e+02
2.070000e+01	2.100000e+01	1.411957e+03	1.807825e+02	1.807825e+02
2.100000e+01	2.130000e+01	1.573984e+03	1.908736e+02	1.908736e+02
2.130000e+01	2.160000e+01	1.319369e+03	1.747547e+02	1.747547e+02
2.160000e+01	2.190000e+01	1.203635e+03	1.669141e+02	1.669141e+02
2.190000e+01	2.220000e+01	9.490200e+02	1.482120e+02	1.482120e+02
2.220000e+01	2.250000e+01	1.134195e+03	1.620278e+02	1.620278e+02
2.250000e+01	2.280000e+01	1.249929e+03	1.700938e+02	1.700938e+02
2.280000e+01	2.310000e+01	1.111048e+03	1.603659e+02	1.603659e+02
2.310000e+01	2.340000e+01	1.180488e+03	1.653014e+02	1.653014e+02
2.340000e+01	2.370000e+01	8.564327e+02	1.407967e+02	1.407967e+02
2.370000e+01	2.400000e+01	8.795793e+02	1.426866e+02	1.426866e+02
2.400000e+01	2.430000e+01	5.555237e+02	1.133958e+02	1.133958e+02
2.430000e+01	2.460000e+01	5.786707e+02	1.157341e+02	1.157341e+02
2.460000e+01	2.490000e+01	3.703493e+02	9.258731e+01	9.258731e+01
2.490000e+01	2.520000e+01	4.166430e+02	9.820368e+01	9.820368e+01
2.520000e+01	2.550000e+01	5.092303e+02	1.085683e+02	1.085683e+02
2.550000e+01	2.580000e+01	3.703493e+02	9.258731e+01	9.258731e+01
2.580000e+01	2.610000e+01	4.397897e+02	1.008947e+02	1.008947e+02
2.610000e+01	2.640000e+01	5.555240e+02	1.133958e+02	1.133958e+02
2.640000e+01	2.670000e+01	4.166430e+02	9.820368e+01	9.820368e+01
2.670000e+01	2.700000e+01	3.240556e+02	8.660750e+01	8.660750e+01
2.700000e+01	2.730000e+01	1.851746e+02	6.546912e+01	6.546912e+01
2.730000e+01	2.760000e+01	1.620278e+02	6.124075e+01	6.124075e+01
2.760000e+01	2.790000e+01	3.009088e+02	8.345707e+01	8.345707e+01
2.790000e+01	2.820000e+01	3.009088e+02	8.345707e+01	8.345707e+01
2.820000e+01	2.850000e+01	2.546151e+02	7.676934e+01	7.676934e+01
2.850000e+01	2.880000e+01	1.620278e+02	6.124075e+01	6.124075e+01
2.880000e+01	2.910000e+01	2.083214e+02	6.944049e+01	6.944049e+01
2.910000e+01	2.940000e+01	2.314683e+02	7.319670e+01	7.319670e+01
2.940000e+01	2.970000e+01	2.546151e+02	7.676935e+01	7.676935e+01
2.970000e+01	3.000000e+01	1.388810e+02	5.669792e+01	5.669792e+01
# END HISTO1D

